antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
apples,cinnamon,0.01365,0.0636,0.0057,0.4175824175824176,6.5657612827424146,0.00483186,1.607781132075472,0.859425900382324
salt,apples,0.3884,0.01365,0.00495,0.012744593202883625,0.933669831713086,-0.00035166000000000017,0.9990829052027642,-0.10406974679498567
apples,salt,0.01365,0.3884,0.00495,0.3626373626373626,0.933669831713086,-0.00035166000000000017,0.9595793103448276,-0.06718643203191386
sugar,apples,0.24285,0.01365,0.0064,0.026353716285773113,1.930675185770924,0.0030850975,1.0130475681962359,0.636659161823945
apples,sugar,0.01365,0.24285,0.0064,0.46886446886446886,1.930675185770924,0.0030850975,1.4255306896551725,0.48871747794900394
butter,bacon,0.26755,0.0289,0.005,0.018688095683049896,0.6466469094480933,-0.0027321949999999998,0.989593620262807,-0.42727633125314235
bacon,butter,0.0289,0.26755,0.005,0.17301038062283738,0.6466469094480933,-0.0027321949999999998,0.8856822175732219,-0.3600823438475057
onion,bacon,0.1885,0.0289,0.01175,0.0623342175066313,2.1568933393298027,0.00630235,1.0356568599717113,0.660961445182942
bacon,onion,0.0289,0.1885,0.01175,0.40657439446366783,2.1568933393298027,0.00630235,1.3674839650145774,0.5523326256471603
pepper,bacon,0.1033,0.0289,0.0053,0.051306873184898356,1.7753243316573826,0.0023146300000000002,1.0236186734693877,0.4870331677366276
bacon,pepper,0.0289,0.1033,0.0053,0.18339100346020762,1.7753243316573826,0.0023146300000000002,1.0980775423728815,0.4497195361028051
salt,bacon,0.3884,0.0289,0.0111,0.028578784757981462,0.9888852857433033,-0.0001247599999999998,0.9996693347468858,-0.01804580011340096
bacon,salt,0.0289,0.3884,0.0111,0.384083044982699,0.9888852857433033,-0.0001247599999999998,0.9929910112359551,-0.011441704260008033
baking soda,baking powder,0.06305,0.076,0.0272,0.4314036478984933,5.67636378813807,0.0224082,1.6250543933054395,0.8792687788600686
baking powder,baking soda,0.076,0.06305,0.0272,0.35789473684210527,5.67636378813807,0.0224082,1.4591844262295082,0.8915918640183346
brown sugar,baking powder,0.08,0.076,0.01435,0.179375,2.3601973684210527,0.00827,1.1259710586443261,0.626420239357673
baking powder,brown sugar,0.076,0.08,0.01435,0.18881578947368421,2.3601973684210527,0.00827,1.1341443633414436,0.6237084634297178
butter,baking powder,0.26755,0.076,0.0356,0.13305924126331525,1.7507794903067797,0.0152662,1.065816770855788,0.5854677352674301
baking powder,butter,0.076,0.26755,0.0356,0.46842105263157896,1.75077949030678,0.0152662,1.3778762376237625,0.4640972323556593
baking powder,buttermilk,0.076,0.0165,0.00725,0.09539473684210527,5.781499202551834,0.0059960000000000005,1.0872145454545457,0.8950589640244812
buttermilk,baking powder,0.0165,0.076,0.00725,0.4393939393939394,5.781499202551834,0.0059960000000000005,1.6482162162162164,0.8409094893326088
cinnamon,baking powder,0.0636,0.076,0.01655,0.2602201257861635,3.4239490235021512,0.011716399999999998,1.249020191285866,0.7560226153772691
baking powder,cinnamon,0.076,0.0636,0.01655,0.21776315789473683,3.4239490235021512,0.011716399999999998,1.1970798990748528,0.7661683734191287
baking powder,egg,0.076,0.0786,0.02025,0.26644736842105265,3.3899156287665733,0.014276400000000002,1.2560789237668162,0.7629950296616963
egg,baking powder,0.0786,0.076,0.02025,0.25763358778625955,3.3899156287665733,0.014276400000000002,1.244668380462725,0.7651480436372992
baking powder,eggs,0.076,0.1682,0.0391,0.5144736842105264,3.058702046435948,0.026316800000000005,1.7131924119241195,0.7284241759945085
eggs,baking powder,0.1682,0.076,0.0391,0.23246135552913202,3.058702046435948,0.026316800000000005,1.2038481797056546,0.8091655910302066
flour,baking powder,0.14885,0.076,0.04105,0.2757809875713806,3.6286972048865866,0.029737400000000004,1.275857142857143,0.8511061519332983
baking powder,flour,0.076,0.14885,0.04105,0.5401315789473685,3.628697204886587,0.029737400000000004,1.8508555078683837,0.7840032480714576
baking powder,granulated sugar,0.076,0.0206,0.0054,0.07105263157894737,3.4491568727644353,0.0038344000000000004,1.0543116147308782,0.7684784351451018
granulated sugar,baking powder,0.0206,0.076,0.0054,0.2621359223300971,3.4491568727644353,0.0038344000000000004,1.252263157894737,0.7250092649316664
baking powder,margarine,0.076,0.08565,0.0117,0.15394736842105264,1.7974006820905153,0.0051906,1.0807247278382581,0.4801309801309801
margarine,baking powder,0.08565,0.076,0.0117,0.13660245183887915,1.797400682090515,0.0051906,1.0701906693711967,0.4851982562924762
baking powder,milk,0.076,0.13375,0.0258,0.3394736842105263,2.5381210034431874,0.015635,1.3114541832669324,0.6558525453874291
